distance_km,hour_of_day,day_of_week,month,priority,speed_kmh
5.761,22,0,4,Standard,22.67
0.555,21,0,6,Standard,6.79
3.193,11,3,4,Express,14.73
1.275,11,6,3,Express,26.44
1.524,19,4,2,Express,16.95
7.775,23,4,1,Express,24.93
2.74,12,0,3,Standard,14.7
1.846,21,0,1,Standard,19.27
2.941,1,4,5,Express,22.71
1.137,14,4,1,Standard,4.67
0.958,12,5,6,Standard,22.69
2.905,8,4,4,Standard,12.18
2.424,23,6,2,Standard,15.81
4.283,9,3,1,Standard,23.36
1.478,19,0,3,Standard,12.67
2.935,23,2,1,Standard,14.39
2.395,22,6,3,Express,23.05
2.853,18,4,1,Standard,8.85
2.49,21,6,1,Standard,13.6
3.459,9,4,4,Standard,10.96
1.539,0,6,2,Standard,10.46
3.489,21,2,2,Standard,7.65
1.208,19,2,4,Standard,10.4
2.013,22,6,5,Standard,12.39
3.638,15,6,3,Standard,22.01
4.866,8,0,3,Express,20.51
1.233,9,1,2,Standard,14.5
1.22,19,4,5,Standard,4.8
0.963,22,3,5,Express,14.9
4.04,14,5,3,Standard,13.2
3.582,11,4,4,Standard,6.81
0.862,8,0,4,Standard,10.67
1.644,9,2,2,Express,9.82
3.024,21,1,4,Standard,10.24
4.584,1,4,4,Standard,16.42
3.411,6,2,3,Standard,15.33
2.747,23,6,1,Standard,14.76
1.532,22,3,3,Standard,16.71
5.228,1,5,3,Standard,24.31
1.75,20,1,1,Express,9.09
1.29,14,5,1,Express,11.62
1.697,7,4,4,Standard,13.22
2.927,18,3,5,Standard,16.21
3.531,12,3,5,Standard,8.21
3.808,19,5,3,Standard,9.03
1.219,7,4,5,Standard,9.33
4.442,22,1,6,Standard,22.15
0.834,17,4,4,Standard,6.81
5.018,15,3,3,Express,15.77
0.794,6,2,5,Standard,14.3
0.83,7,2,4,Standard,7.31
21.442,20,5,6,Standard,21.33
2.218,18,3,4,Standard,6.91
0.703,23,0,4,Express,15.18
0.526,17,0,1,Standard,12.3
2.529,8,3,6,Express,13.94
2.452,19,3,3,Standard,11.66
0.894,12,2,6,Standard,2.37
6.15,23,5,2,Standard,8.29
0.722,19,4,2,Express,11.73
0.713,8,3,4,Standard,12.41
0.991,21,4,3,Standard,8.0
0.591,8,1,3,Standard,11.96
1.913,18,5,2,Express,14.48
0.762,15,1,4,Standard,7.03
0.863,15,1,6,Standard,8.95
4.627,20,1,5,Standard,14.2
1.723,15,5,5,Standard,7.7
3.96,23,1,5,Express,27.93
2.991,18,3,6,Standard,5.83
0.653,18,3,5,Standard,9.4
0.777,11,1,3,Standard,8.68
0.837,18,2,4,Standard,25.55
1.566,20,1,4,Standard,9.39
20.62,17,0,4,Express,23.26
9.263,6,3,4,Standard,27.51
0.993,11,1,3,Standard,11.69
1.762,17,0,3,Standard,10.42
6.462,11,2,4,Express,16.2
0.989,8,4,5,Standard,14.54
0.589,1,4,5,Standard,24.37
22.296,13,4,2,Standard,22.04
1.472,16,3,6,Express,32.58
9.312,15,6,3,Express,23.85
1.857,13,5,1,Standard,40.77
5.314,9,5,5,Standard,23.76
1.99,10,2,1,Standard,8.51
2.087,9,2,2,Standard,6.39
1.251,17,5,3,Standard,14.25
1.698,20,6,6,Standard,32.52
13.155,20,1,3,Standard,33.05
2.566,19,1,2,Standard,10.35
10.12,4,5,4,Standard,19.83
1.309,10,5,5,Standard,8.79
1.596,23,0,4,Express,13.45
4.514,12,0,5,Standard,7.31
15.073,22,1,5,Standard,34.32
2.132,11,1,1,Standard,22.57
2.444,14,1,5,Standard,6.12
1.203,12,5,6,Standard,8.75
1.479,8,4,3,Standard,6.44
0.698,14,6,2,Standard,5.51
5.497,17,3,3,Standard,16.89
6.237,4,1,5,Standard,18.62
0.943,9,3,2,Express,9.6
1.026,14,0,5,Standard,9.43
3.612,17,2,2,Express,12.65
2.89,13,4,1,Standard,13.5
2.586,10,5,3,Standard,11.44
8.574,17,1,5,Standard,17.59
1.643,8,5,4,Standard,8.62
1.013,13,4,2,Express,11.43
1.612,22,5,2,Standard,12.01
9.798,10,2,2,Express,23.56
5.359,9,1,5,Express,19.7
2.532,9,2,3,Standard,13.94
0.588,13,5,1,Standard,11.56
